id,original_language_id,original_set_id,original_card_number,canonical_name,card_category,artist,regulation_mark,evolves_from,concept_fingerprint,notes
00000000-0000-4000-8000-000000004001,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8000-000000002001,001,Pikachu,pokemon,Aya Sketch,,Pichu,pikachu-sm-001-aya,Fake Pikachu concept across many languages
00000000-0000-4000-8000-000000004002,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8000-000000002002,015,Lunala GX,pokemon,Nora Demo,,Cosmoem,lunala-gx-sm-015-nora,Fake Moon side GX concept
00000000-0000-4000-8000-000000004003,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8000-000000002001,042,Professor Kukui,trainer,Ken Sample,,,professor-kukui-sm-042-ken,Fake trainer card concept
00000000-0000-4000-8000-000000004004,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,004,Charizard,pokemon,Mitsuhiro Arita,,Charmeleon,charizard-base-004-arita,Classic fire starter concept for testing
00000000-0000-4000-8000-000000004005,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,002,Blastoise,pokemon,Ken Sugimori,,Wartortle,blastoise-base-002-sugimori,Classic water starter concept for testing
00000000-0000-4000-8000-000000004006,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,015,Venusaur,pokemon,Mitsuhiro Arita,,Ivysaur,venusaur-base-015-arita,Classic grass starter concept for testing
00000000-0000-4000-8000-000000004007,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,010,Mewtwo,pokemon,Ken Sugimori,,Basic,mewtwo-base-010-sugimori,Legendary psychic concept for testing
00000000-0000-4000-8000-000000004008,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002018,048,Eevee,pokemon,Kagemaru Himeno,,Basic,eevee-pgo-048-himeno,Flexible evolution concept for testing
00000000-0000-4000-8000-000000004009,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,011,Snorlax,pokemon,Ken Sugimori,,Basic,snorlax-base-011-sugimori,Colorless wall concept for testing
00000000-0000-4000-8000-000000004010,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002010,056,Gengar,pokemon,Keiji Kinebuchi,,Haunter,gengar-viv-056-kinebuchi,Ghost evolution concept for testing
00000000-0000-4000-8000-000000004011,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002018,050,Dragonite,pokemon,Kagemaru Himeno,,Dragonair,dragonite-pgo-050-himeno,Dragon evolution concept for testing
00000000-0000-4000-8000-000000004012,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,044,Bulbasaur,pokemon,Mitsuhiro Arita,,Basic,bulbasaur-base-044-arita,Starter basic concept for testing
00000000-0000-4000-8000-000000004013,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,046,Charmander,pokemon,Mitsuhiro Arita,,Basic,charmander-base-046-arita,Starter basic concept for testing
00000000-0000-4000-8000-000000004014,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002009,063,Squirtle,pokemon,Ken Sugimori,,Basic,squirtle-base-063-sugimori,Starter basic concept for testing
00000000-0000-4000-8000-000000004015,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002010,154,Rare Candy,trainer,Ryo Sample,,Basic,rare-candy-viv-154-ryo,Trainer item concept for testing
00000000-0000-4000-8000-000000004016,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002011,097,Mimikyu,pokemon,Megumi Mizutani,G,Basic,mimikyu-svi-097-mizutani,Scarlet and Violet ghost concept for testing
00000000-0000-4000-8000-000000004017,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8000-000000002011,190,Professor's Research,trainer,Naoki Saito,G,Basic,professors-research-svi-190-saito,Trainer supporter concept for testing
